entry,at,order
"""tz @ bcdGuthcbe"" posts a big blind of 0.20",2025-06-20T23:16:07.676Z,175046136767607
"""tz2 @ jinnkMiEa5"" posts a small blind of 0.10",2025-06-20T23:16:07.676Z,175046136767606
"Your hand is 2♦, 6♥",2025-06-20T23:16:07.676Z,175046136767604
"Player stacks: #1 ""tz @ bcdGuthcbe"" (20.00) | #5 ""tz2 @ jinnkMiEa5"" (20.00)",2025-06-20T23:16:07.676Z,175046136767603
"The player ""tz2 @ jinnkMiEa5"" joined the game with a stack of 20.00.",2025-06-20T23:16:07.676Z,175046136767602
"The player ""tz @ bcdGuthcbe"" joined the game with a stack of 20.00.",2025-06-20T23:16:07.676Z,175046136767601
"-- starting hand #1 (id: nju4yl2oojrc)  (No Limit Texas Hold'em) (dealer: ""tz2 @ jinnkMiEa5"") --",2025-06-20T23:16:07.676Z,175046136767600
"The admin approved the player ""tz2 @ jinnkMiEa5"" participation with a stack of 20.00.",2025-06-20T23:15:51.483Z,175046135148300
"The player ""tz2 @ jinnkMiEa5"" requested a seat.",2025-06-20T23:15:46.552Z,175046134655200
"The admin approved the player ""tz @ bcdGuthcbe"" participation with a stack of 20.00.",2025-06-20T23:15:19.829Z,175046131982901
"The player ""tz @ bcdGuthcbe"" requested a seat.",2025-06-20T23:15:19.829Z,175046131982900
